t,o,h,l,c,v
1724517120,353850.03001000,353850.03001001,353850.03001000,353850.03001001,0.00062450
1724517180,353850.03001001,354076.98438798,353850.03001001,354057.41184356,0.00272821
1724517240,354095.94369398,354098.69643410,353994.20831747,354017.41123648,0.07644190
1724517300,354024.24765339,354098.31279623,353905.45699987,354098.31279623,0.00892461
1724517360,353983.37277000,354561.99157822,353983.37277000,354561.99157822,0.02257766
1724517420,354330.64083245,354330.64083245,354330.64083245,354330.64083245,0.00000865
1724517480,354448.28645263,354448.28645263,354448.28645263,354448.28645263,0.00021936
1724517540,354328.11366626,354328.11366626,354328.11366626,354328.11366626,0.00033333
1724517600,354175.54763720,354193.14229289,354175.54763720,354193.14229289,0.00034730
1724517660,354227.09204659,354257.77100737,354227.09204659,354257.77100737,0.00170616
1724517720,354130.12780228,354130.12780228,354130.12780228,354130.12780228,0.00011181
1724517780,354153.30808703,354153.30808703,354130.12000001,354130.12000001,0.04851279
1724517840,354130.12000001,354130.12000001,353624.45856721,353624.45856721,0.04875771
1724517960,353683.36530017,353699.15517654,353683.36530017,353699.15517654,0.00002334
1724518020,353713.07664472,353713.07664473,353713.07664472,353713.07664472,0.00052687
1724518080,353724.18889422,354062.63193897,353724.18889422,354062.63193897,0.00504877
1724518140,354061.28161446,354061.28161447,353938.90732599,353938.90732599,0.00007276
1724518200,353959.58049193,354000.00000000,353957.22160233,354000.00000000,0.03397844
1724518320,354197.75301501,354217.56748377,354059.21731253,354062.54731254,0.00046496
1724518380,354215.09175520,354215.09175520,354213.39081842,354213.39081842,0.00040689
1724518440,353994.13240029,353994.13240029,353924.08485920,353924.08485920,0.00662270
1724518500,353924.08485920,353924.08485920,353924.08485920,353924.08485920,0.00000616
1724518560,353992.06645069,353999.92138045,353992.06645069,353999.92138045,0.00080391
1724518620,354005.82073920,354145.37999985,354005.82073920,354092.86492926,0.00278998
1724518680,354092.32200067,354185.33999999,354092.32200067,354132.39553315,0.01807610
1724518740,354093.11000000,354216.66999999,354093.11000000,354216.66999999,0.00063728
1724518800,354219.49755545,354219.49755545,354176.74457333,354176.74457333,0.00088022
